css_cycle_id,well_id,cycle_number,steam_volume_ton,steam_injection_rate_ton_hr,steam_injection_pressure_bar,steam_temperature_C,injection_duration_hr,soak_time_hr,production_cutoff,post_steam_temperature_C
BGW-001-C1,BGW-001,1,1303.7,3.88,86.5,226.3,336,144,2023-04-22,176.7
BGW-001-C2,BGW-001,2,1676.6,4.99,76.3,223.3,336,144,2023-08-06,189.1
BGW-001-C3,BGW-001,3,1031.5,3.07,63.6,211.4,336,144,2023-11-20,169.9
BGW-001-C4,BGW-001,4,1169.3,3.48,80.0,225.4,336,144,2024-03-05,178.0
BGW-002-C1,BGW-002,1,1458.2,4.34,75.2,220.1,336,144,2023-04-13,174.3
BGW-002-C2,BGW-002,2,1374.2,4.09,63.5,211.0,336,144,2023-07-26,157.0
BGW-002-C3,BGW-002,3,1925.3,5.73,88.0,227.3,336,144,2023-11-06,173.1
BGW-002-C4,BGW-002,4,1794.2,5.34,88.7,226.0,336,144,2024-02-20,189.2
BGW-003-C1,BGW-003,1,1105.4,3.29,96.1,235.4,336,144,2023-04-24,200.3
BGW-003-C2,BGW-003,2,1317.1,3.92,83.2,224.0,336,144,2023-08-08,172.6
BGW-003-C3,BGW-003,3,1774.1,5.28,88.8,229.5,336,144,2023-11-24,183.8
BGW-003-C4,BGW-003,4,1596.0,4.75,86.0,224.2,336,144,2024-03-09,183.8
BGW-004-C1,BGW-004,1,1048.3,3.12,79.8,226.4,336,144,2023-04-26,192.8
BGW-004-C2,BGW-004,2,1112.2,3.31,83.5,224.0,336,144,2023-08-11,170.9
BGW-004-C3,BGW-004,3,1592.6,4.74,73.9,222.6,336,144,2023-11-26,192.0
BGW-004-C4,BGW-004,4,1975.7,5.88,79.3,224.6,336,144,2024-03-11,192.5
BGW-005-C1,BGW-005,1,1498.6,4.46,79.6,225.0,336,144,2023-04-12,180.7
BGW-005-C2,BGW-005,2,1485.1,4.42,70.7,216.4,336,144,2023-07-27,173.4
BGW-005-C3,BGW-005,3,1451.5,4.32,60.9,216.7,336,144,2023-11-12,164.3
BGW-005-C4,BGW-005,4,1149.1,3.42,82.2,220.2,336,144,2024-02-25,173.4
BGW-006-C1,BGW-006,1,1290.2,3.84,86.4,232.8,336,144,2023-04-11,183.6
BGW-006-C2,BGW-006,2,1115.5,3.32,96.6,229.6,336,144,2023-07-25,198.7
BGW-006-C3,BGW-006,3,1565.8,4.66,74.8,218.7,336,144,2023-11-08,168.5
BGW-006-C4,BGW-006,4,1327.2,3.95,98.1,235.1,336,144,2024-02-25,192.2
BGW-007-C1,BGW-007,1,1266.7,3.77,97.4,234.9,336,144,2023-04-16,203.8
BGW-007-C2,BGW-007,2,1448.2,4.31,99.7,235.4,336,144,2023-07-30,186.7
BGW-007-C3,BGW-007,3,1905.1,5.67,95.7,233.5,336,144,2023-11-16,195.6
BGW-007-C4,BGW-007,4,1787.5,5.32,86.5,230.9,336,144,2024-03-03,198.5
BGW-008-C1,BGW-008,1,1760.6,5.24,70.5,215.1,336,144,2023-04-15,179.1
BGW-008-C2,BGW-008,2,1132.3,3.37,93.2,230.7,336,144,2023-08-01,196.2
BGW-008-C3,BGW-008,3,1612.8,4.8,95.0,236.5,336,144,2023-11-12,198.7
BGW-008-C4,BGW-008,4,1790.9,5.33,98.9,234.4,336,144,2024-02-28,200.8
