event_id,timestamp,well_id,css_cycle_id,rod_floating,rod_failure,pump_unsetting,impact_loading,gas_interference,pump_off_condition,fault_type,failure_severity,maintenance_required,downtime_hours
EVT-00001,2023-02-21,BGW-001,BGW-001-C1,0,0,0,0,1,0,gas_interference,low,1,1.8
EVT-00002,2023-06-05,BGW-001,BGW-001-C2,0,0,0,0,0,1,pump_off_condition,low,0,2.5
EVT-00003,2023-06-07,BGW-001,BGW-001-C2,0,0,0,1,0,0,impact_loading,low,1,1.8
EVT-00004,2023-09-29,BGW-001,BGW-001-C3,0,0,0,0,0,1,pump_off_condition,high,1,59.9
EVT-00005,2023-10-06,BGW-001,BGW-001-C3,0,0,0,1,0,0,impact_loading,medium,1,11.2
EVT-00006,2023-10-26,BGW-001,BGW-001-C3,0,0,0,1,0,0,impact_loading,low,1,3.4
EVT-00007,2023-12-24,BGW-001,BGW-001-C4,1,0,0,0,0,0,rod_floating,low,1,2.1
EVT-00008,2024-01-26,BGW-001,BGW-001-C4,0,0,1,0,0,0,pump_unsetting,medium,1,12.1
EVT-00009,2024-02-11,BGW-001,BGW-001-C4,0,0,1,0,0,0,pump_unsetting,medium,1,16.5
EVT-00010,2023-01-31,BGW-002,BGW-002-C1,1,0,0,0,0,0,rod_floating,medium,1,12.1
EVT-00011,2023-03-09,BGW-002,BGW-002-C1,0,0,0,1,0,0,impact_loading,low,0,5.6
EVT-00012,2023-05-24,BGW-002,BGW-002-C2,0,0,0,0,1,0,gas_interference,low,0,2.3
EVT-00013,2023-07-17,BGW-002,BGW-002-C2,0,0,0,0,1,0,gas_interference,high,1,46.5
EVT-00014,2023-09-10,BGW-002,BGW-002-C3,0,0,0,1,0,0,impact_loading,medium,1,6.7
EVT-00015,2023-09-15,BGW-002,BGW-002-C3,0,0,0,0,1,0,gas_interference,low,0,4.5
EVT-00016,2023-10-06,BGW-002,BGW-002-C3,0,0,0,1,0,0,impact_loading,high,1,29.0
EVT-00017,2024-02-19,BGW-002,BGW-002-C4,0,0,0,0,0,1,pump_off_condition,low,0,5.5
EVT-00018,2023-02-25,BGW-003,BGW-003-C1,0,0,1,0,0,0,pump_unsetting,high,1,61.2
EVT-00019,2023-03-04,BGW-003,BGW-003-C1,0,0,1,0,0,0,pump_unsetting,medium,1,11.8
EVT-00020,2023-03-14,BGW-003,BGW-003-C1,0,1,0,0,0,0,rod_failure,medium,1,6.9
EVT-00021,2023-08-01,BGW-003,BGW-003-C2,1,0,0,0,0,0,rod_floating,medium,1,19.6
EVT-00022,2023-09-14,BGW-003,BGW-003-C3,0,1,0,0,0,0,rod_failure,low,0,2.1
EVT-00023,2023-10-06,BGW-003,BGW-003-C3,0,1,0,0,0,0,rod_failure,medium,1,13.5
EVT-00024,2023-10-22,BGW-003,BGW-003-C3,0,0,1,0,0,0,pump_unsetting,medium,1,16.2
EVT-00025,2023-12-29,BGW-003,BGW-003-C4,0,0,1,0,0,0,pump_unsetting,low,0,1.9
EVT-00026,2024-01-01,BGW-003,BGW-003-C4,0,0,0,1,0,0,impact_loading,medium,1,14.2
EVT-00027,2024-01-27,BGW-003,BGW-003-C4,0,1,0,0,0,0,rod_failure,low,0,2.2
EVT-00028,2023-04-10,BGW-004,BGW-004-C1,0,0,0,0,1,0,gas_interference,low,1,4.3
EVT-00029,2023-05-23,BGW-004,BGW-004-C2,0,0,0,0,1,0,gas_interference,low,0,2.8
EVT-00030,2023-05-29,BGW-004,BGW-004-C2,0,0,0,1,0,0,impact_loading,medium,1,14.7
EVT-00031,2023-09-19,BGW-004,BGW-004-C3,0,0,0,0,1,0,gas_interference,low,0,1.2
EVT-00032,2023-10-15,BGW-004,BGW-004-C3,0,0,1,0,0,0,pump_unsetting,low,1,4.4
EVT-00033,2023-11-08,BGW-004,BGW-004-C3,1,0,0,0,0,0,rod_floating,low,1,4.0
EVT-00034,2024-02-17,BGW-004,BGW-004-C4,0,0,0,1,0,0,impact_loading,high,1,37.6
EVT-00035,2024-02-26,BGW-004,BGW-004-C4,0,0,0,1,0,0,impact_loading,medium,1,11.1
EVT-00036,2024-03-09,BGW-004,BGW-004-C4,0,0,1,0,0,0,pump_unsetting,medium,1,23.1
EVT-00037,2023-03-04,BGW-005,BGW-005-C1,0,0,0,1,0,0,impact_loading,medium,1,19.3
EVT-00038,2023-03-17,BGW-005,BGW-005-C1,1,0,0,0,0,0,rod_floating,low,0,4.4
EVT-00039,2023-03-18,BGW-005,BGW-005-C1,1,0,0,0,0,0,rod_floating,medium,1,21.5
EVT-00040,2023-07-10,BGW-005,BGW-005-C2,0,0,1,0,0,0,pump_unsetting,low,1,5.3
EVT-00041,2023-10-12,BGW-005,BGW-005-C3,1,0,0,0,0,0,rod_floating,low,0,1.0
EVT-00042,2023-10-29,BGW-005,BGW-005-C3,0,0,1,0,0,0,pump_unsetting,high,1,55.0
EVT-00043,2023-12-08,BGW-005,BGW-005-C4,0,0,0,0,1,0,gas_interference,low,1,2.1
EVT-00044,2024-02-10,BGW-005,BGW-005-C4,0,0,0,1,0,0,impact_loading,low,1,3.5
EVT-00045,2023-01-25,BGW-006,BGW-006-C1,0,0,1,0,0,0,pump_unsetting,low,0,1.9
EVT-00046,2023-02-21,BGW-006,BGW-006-C1,0,0,0,0,1,0,gas_interference,low,1,4.6
EVT-00047,2023-05-29,BGW-006,BGW-006-C2,0,0,0,0,1,0,gas_interference,low,0,4.7
EVT-00048,2023-08-20,BGW-006,BGW-006-C3,0,0,0,0,1,0,gas_interference,low,1,5.3
EVT-00049,2023-09-08,BGW-006,BGW-006-C3,0,0,0,0,1,0,gas_interference,medium,1,17.2
EVT-00050,2024-01-18,BGW-006,BGW-006-C4,0,1,0,0,0,0,rod_failure,low,0,5.4
EVT-00051,2023-03-25,BGW-007,BGW-007-C1,0,1,0,0,0,0,rod_failure,low,0,2.8
EVT-00052,2023-06-18,BGW-007,BGW-007-C2,0,0,0,0,0,1,pump_off_condition,low,1,4.7
EVT-00053,2023-07-29,BGW-007,BGW-007-C2,0,0,0,0,0,1,pump_off_condition,low,0,4.8
EVT-00054,2023-11-13,BGW-007,BGW-007-C3,0,0,1,0,0,0,pump_unsetting,low,1,2.5
EVT-00055,2024-03-02,BGW-007,BGW-007-C4,0,1,0,0,0,0,rod_failure,low,1,5.7
EVT-00056,2023-03-17,BGW-008,BGW-008-C1,0,0,0,0,0,1,pump_off_condition,high,1,62.1
EVT-00057,2023-03-31,BGW-008,BGW-008-C1,0,0,1,0,0,0,pump_unsetting,low,1,5.4
EVT-00058,2023-04-14,BGW-008,BGW-008-C1,0,0,0,0,1,0,gas_interference,medium,1,9.1
EVT-00059,2023-05-14,BGW-008,BGW-008-C2,0,0,0,0,0,1,pump_off_condition,medium,1,18.3
EVT-00060,2023-07-30,BGW-008,BGW-008-C2,1,0,0,0,0,0,rod_floating,low,0,2.4
EVT-00061,2023-10-01,BGW-008,BGW-008-C3,0,0,1,0,0,0,pump_unsetting,low,0,2.8
EVT-00062,2023-10-12,BGW-008,BGW-008-C3,0,0,0,0,1,0,gas_interference,medium,1,12.8
EVT-00063,2023-10-28,BGW-008,BGW-008-C3,0,0,0,0,1,0,gas_interference,low,1,5.9
EVT-00064,2024-01-08,BGW-008,BGW-008-C4,1,0,0,0,0,0,rod_floating,low,0,2.2
EVT-00065,2024-01-29,BGW-008,BGW-008-C4,0,1,0,0,0,0,rod_failure,low,0,3.4
