timestamp,well_id,css_cycle_id,oil_rate_bpd,water_rate_bpd,gas_rate_mmscfd,total_fluid_rate_bpd,water_cut_pct,bottomhole_pressure_bar,wellhead_pressure_bar,cumulative_oil_bbl,steam_consumption_ton,SOR,energy_consumption_kWh
2023-02-01,BGW-001,BGW-001-C1,213.2,51.2,0.1484,264.3,19.4,73.1,54.8,213.2,16.3,0.076,314.0
2023-02-02,BGW-001,BGW-001-C1,208.9,66.4,0.1172,275.3,24.1,73.1,55.9,422.1,16.3,0.077,443.9
2023-02-03,BGW-001,BGW-001-C1,221.0,63.7,0.0926,284.8,22.4,70.9,51.5,643.1,16.3,0.076,333.5
2023-02-04,BGW-001,BGW-001-C1,201.3,55.7,0.1165,256.9,21.7,67.8,55.4,844.4,16.3,0.077,377.5
2023-02-05,BGW-001,BGW-001-C1,196.9,66.9,0.0974,263.9,25.4,66.3,50.3,1041.3,16.3,0.078,384.0
2023-02-06,BGW-001,BGW-001-C1,214.5,79.5,0.1239,294.0,27.0,68.7,55.1,1255.8,16.3,0.078,519.5
2023-02-07,BGW-001,BGW-001-C1,187.2,62.0,0.1163,249.2,24.9,69.8,52.0,1443.0,16.3,0.079,434.2
2023-02-08,BGW-001,BGW-001-C1,177.3,62.3,0.1151,239.5,26.0,63.4,45.0,1620.3,16.3,0.08,524.6
2023-02-09,BGW-001,BGW-001-C1,162.1,80.5,0.0962,242.6,33.2,65.6,48.9,1782.4,16.3,0.082,539.1
2023-02-10,BGW-001,BGW-001-C1,162.6,90.8,0.082,253.4,35.8,67.1,51.1,1945.0,16.3,0.084,518.4
2023-02-11,BGW-001,BGW-001-C1,164.0,85.8,0.1015,249.8,34.4,66.3,49.3,2109.0,16.3,0.085,425.5
2023-02-12,BGW-001,BGW-001-C1,168.7,82.4,0.1004,251.1,32.8,66.1,50.6,2277.6,16.3,0.086,668.6
2023-02-13,BGW-001,BGW-001-C1,162.0,89.4,0.0898,251.4,35.6,65.7,47.2,2439.7,16.3,0.087,617.5
2023-02-14,BGW-001,BGW-001-C1,158.9,87.7,0.0706,246.6,35.6,65.0,54.7,2598.6,16.3,0.088,424.5
2023-02-15,BGW-001,BGW-001-C1,143.8,112.6,0.058,256.3,43.9,64.1,44.9,2742.3,16.3,0.089,593.9
2023-02-16,BGW-001,BGW-001-C1,136.0,80.1,0.0827,216.1,37.1,63.8,44.5,2878.3,16.3,0.091,471.5
2023-02-17,BGW-001,BGW-001-C1,139.6,95.0,0.0644,234.6,40.5,64.0,45.4,3017.9,16.3,0.092,507.9
2023-02-18,BGW-001,BGW-001-C1,142.1,81.6,0.0947,223.7,36.5,62.9,50.8,3160.0,16.3,0.093,637.6
2023-02-19,BGW-001,BGW-001-C1,132.0,86.8,0.0547,218.7,39.7,61.9,49.7,3292.0,16.3,0.094,670.8
2023-02-20,BGW-001,BGW-001-C1,134.4,112.1,0.0636,246.5,45.5,60.9,45.6,3426.4,16.3,0.095,624.8
2023-02-21,BGW-001,BGW-001-C1,114.4,78.5,0.0612,192.9,40.7,61.1,45.7,3540.8,16.3,0.097,487.9
2023-02-22,BGW-001,BGW-001-C1,126.1,99.1,0.0754,225.2,44.0,60.6,50.1,3666.9,16.3,0.098,539.1
2023-02-23,BGW-001,BGW-001-C1,118.9,96.7,0.0476,215.7,44.9,61.4,43.6,3785.8,16.3,0.099,353.2
2023-02-24,BGW-001,BGW-001-C1,117.7,108.7,0.0739,226.4,48.0,59.3,46.7,3903.5,16.3,0.1,533.1
2023-02-25,BGW-001,BGW-001-C1,102.3,78.2,0.0653,180.5,43.3,60.1,41.4,4005.8,16.3,0.102,617.8
2023-02-26,BGW-001,BGW-001-C1,108.3,75.3,0.0708,183.6,41.0,59.6,42.2,4114.1,16.3,0.103,372.2
2023-02-27,BGW-001,BGW-001-C1,108.2,112.0,0.0539,220.1,50.9,60.4,43.3,4222.2,16.3,0.104,523.6
2023-02-28,BGW-001,BGW-001-C1,106.5,103.8,0.069,210.3,49.4,59.7,41.6,4328.7,16.3,0.105,347.3
2023-03-01,BGW-001,BGW-001-C1,109.2,111.6,0.0545,220.8,50.5,58.8,43.6,4437.9,16.3,0.106,650.4
2023-03-02,BGW-001,BGW-001-C1,96.9,97.1,0.0408,193.9,50.1,57.4,38.4,4534.7,16.3,0.108,479.9
2023-03-03,BGW-001,BGW-001-C1,101.7,113.8,0.0659,215.5,52.8,58.7,40.6,4636.4,16.3,0.109,514.6
2023-03-04,BGW-001,BGW-001-C1,92.0,94.9,0.0524,186.9,50.8,59.8,48.6,4728.3,16.3,0.11,607.4
2023-03-05,BGW-001,BGW-001-C1,66.6,74.2,0.0395,140.8,52.7,60.8,43.5,4795.0,16.3,0.112,699.3
2023-03-06,BGW-001,BGW-001-C1,79.6,81.3,0.0457,161.0,50.5,60.2,43.4,4874.6,16.3,0.114,378.6
2023-03-07,BGW-001,BGW-001-C1,77.7,78.9,0.0313,156.6,50.4,57.9,46.7,4952.3,16.3,0.115,335.6
2023-03-08,BGW-001,BGW-001-C1,84.5,101.4,0.0347,186.0,54.5,58.4,43.5,5036.8,16.3,0.116,664.4
2023-03-09,BGW-001,BGW-001-C1,84.3,96.6,0.0438,180.9,53.4,55.5,37.2,5121.1,16.3,0.118,348.1
2023-03-10,BGW-001,BGW-001-C1,61.4,73.5,0.0251,134.9,54.5,56.8,44.9,5182.5,16.3,0.119,333.6
2023-03-11,BGW-001,BGW-001-C1,58.7,79.3,0.0311,138.1,57.5,57.0,42.1,5241.3,16.3,0.121,606.8
2023-03-12,BGW-001,BGW-001-C1,79.2,112.5,0.0438,191.7,58.7,56.5,42.5,5320.5,16.3,0.123,662.1
2023-03-13,BGW-001,BGW-001-C1,76.5,94.3,0.0499,170.8,55.2,54.0,36.0,5397.0,16.3,0.124,625.9
2023-03-14,BGW-001,BGW-001-C1,59.4,90.6,0.0306,150.0,60.4,55.0,39.5,5456.4,16.3,0.125,572.9
2023-03-15,BGW-001,BGW-001-C1,54.5,85.8,0.0378,140.4,61.1,60.5,44.9,5510.9,16.3,0.127,397.5
2023-03-16,BGW-001,BGW-001-C1,79.2,112.0,0.0534,191.2,58.6,56.3,36.8,5590.1,16.3,0.128,446.9
2023-03-17,BGW-001,BGW-001-C1,79.0,94.6,0.0343,173.6,54.5,56.4,38.8,5669.1,16.3,0.129,567.0
2023-03-18,BGW-001,BGW-001-C1,80.0,108.5,0.0519,188.5,57.6,56.4,41.6,5749.1,16.3,0.13,440.1
2023-03-19,BGW-001,BGW-001-C1,59.3,97.3,0.0405,156.7,62.1,58.4,43.6,5808.5,16.3,0.132,442.9
2023-03-20,BGW-001,BGW-001-C1,50.2,68.5,0.0302,118.7,57.7,54.2,43.5,5858.7,16.3,0.134,649.6
2023-03-21,BGW-001,BGW-001-C1,68.0,118.8,0.0298,186.9,63.6,53.5,34.1,5926.7,16.3,0.135,603.6
2023-03-22,BGW-001,BGW-001-C1,50.3,64.9,0.0328,115.2,56.4,54.3,40.2,5977.0,16.3,0.136,552.9
2023-03-23,BGW-001,BGW-001-C1,58.4,96.6,0.0371,155.0,62.3,55.5,43.7,6035.4,16.3,0.138,643.6
2023-03-24,BGW-001,BGW-001-C1,42.8,80.9,0.0278,123.8,65.4,56.0,38.0,6078.3,16.3,0.139,436.4
2023-03-25,BGW-001,BGW-001-C1,62.3,106.5,0.025,168.7,63.1,54.3,39.0,6140.6,16.3,0.141,540.1
2023-03-26,BGW-001,BGW-001-C1,48.5,62.6,0.0333,111.1,56.4,55.6,40.6,6189.0,16.3,0.142,495.6
2023-03-27,BGW-001,BGW-001-C1,38.6,60.2,0.0185,98.8,60.9,51.4,35.9,6227.7,16.3,0.144,407.4
2023-03-28,BGW-001,BGW-001-C1,56.9,108.8,0.0266,165.7,65.7,51.5,38.0,6284.5,16.3,0.145,583.6
2023-03-29,BGW-001,BGW-001-C1,47.6,91.2,0.0313,138.8,65.7,54.7,41.2,6332.1,16.3,0.147,426.0
2023-03-30,BGW-001,BGW-001-C1,34.7,48.5,0.0229,83.3,58.3,54.0,42.6,6366.9,16.3,0.148,348.3
2023-03-31,BGW-001,BGW-001-C1,47.7,97.7,0.0283,145.4,67.2,55.0,44.2,6414.6,16.3,0.15,415.4
2023-04-01,BGW-001,BGW-001-C1,24.2,38.4,0.0105,62.7,61.4,53.7,37.4,6438.8,16.3,0.152,693.2
2023-04-02,BGW-001,BGW-001-C1,35.3,77.3,0.0154,112.6,68.7,54.7,44.3,6474.1,16.3,0.154,439.5
2023-04-03,BGW-001,BGW-001-C1,38.7,62.5,0.0222,101.1,61.8,55.3,44.0,6512.8,16.3,0.155,587.7
2023-04-04,BGW-001,BGW-001-C1,39.8,78.8,0.0164,118.6,66.4,54.3,41.2,6552.6,16.3,0.157,482.0
2023-04-05,BGW-001,BGW-001-C1,31.2,62.2,0.0191,93.4,66.6,52.9,39.3,6583.8,16.3,0.158,404.2
2023-04-06,BGW-001,BGW-001-C1,41.9,82.8,0.0246,124.7,66.4,54.2,35.3,6625.7,16.3,0.16,301.5
2023-04-07,BGW-001,BGW-001-C1,38.0,82.8,0.0219,120.8,68.5,53.9,34.5,6663.7,16.3,0.161,560.2
2023-04-08,BGW-001,BGW-001-C1,42.8,89.1,0.0248,132.0,67.6,50.2,37.2,6706.5,16.3,0.163,481.4
2023-04-09,BGW-001,BGW-001-C1,37.9,87.9,0.0206,125.8,69.8,52.4,35.6,6744.4,16.3,0.164,327.8
2023-04-10,BGW-001,BGW-001-C1,20.3,46.0,0.0118,66.4,69.4,53.7,42.0,6764.8,16.3,0.166,562.0
2023-04-11,BGW-001,BGW-001-C1,41.6,101.1,0.0189,142.7,70.8,50.2,38.7,6806.4,16.3,0.168,337.8
2023-04-12,BGW-001,BGW-001-C1,38.7,86.4,0.0182,125.1,69.1,49.8,31.8,6845.0,16.3,0.169,519.8
2023-04-13,BGW-001,BGW-001-C1,36.7,96.3,0.0161,133.0,72.4,52.0,32.3,6881.7,16.3,0.17,334.6
2023-04-14,BGW-001,BGW-001-C1,27.2,51.0,0.0173,78.1,65.2,52.8,34.9,6908.9,16.3,0.172,467.6
2023-04-15,BGW-001,BGW-001-C1,32.7,66.3,0.0175,99.0,67.0,54.8,35.5,6941.6,16.3,0.174,306.1
2023-04-16,BGW-001,BGW-001-C1,34.8,78.2,0.0227,113.1,69.2,53.5,36.6,6976.5,16.3,0.175,415.9
2023-04-17,BGW-001,BGW-001-C1,18.3,44.8,0.011,63.1,70.9,53.5,35.8,6994.8,16.3,0.177,616.1
2023-04-18,BGW-001,BGW-001-C1,28.9,54.8,0.0188,83.7,65.5,52.3,38.0,7023.7,16.3,0.179,377.1
2023-04-19,BGW-001,BGW-001-C1,25.0,63.9,0.0122,88.9,71.9,51.4,41.4,7048.7,16.3,0.18,331.8
2023-04-20,BGW-001,BGW-001-C1,32.1,90.7,0.0213,122.9,73.8,54.1,37.9,7080.8,16.3,0.182,581.2
2023-04-21,BGW-001,BGW-001-C1,29.7,61.5,0.0141,91.2,67.5,51.5,36.0,7110.5,16.3,0.183,615.2
