timestamp,well_id,css_cycle_id,spm,stroke_length_in,vfd_frequency_Hz,rod_load_min_kN,rod_load_max_kN,pump_fillage_pct,pump_efficiency_pct,polished_rod_load_kN,motor_power_kW,reading_type
2023-02-01,BGW-001,BGW-001-C1,6.0,153.6,54.2,9.22,16.02,89.2,83.6,11.77,33.6,automated_daily
2023-02-02,BGW-001,BGW-001-C1,6.24,157.0,56.8,11.34,23.17,76.9,72.7,18.46,26.3,automated_daily
2023-02-03,BGW-001,BGW-001-C1,7.45,103.6,46.0,11.52,22.81,91.4,85.7,19.56,32.2,automated_daily
2023-02-04,BGW-001,BGW-001-C1,7.19,156.1,38.2,13.76,22.49,86.6,78.7,17.39,30.9,automated_daily
2023-02-05,BGW-001,BGW-001-C1,4.63,167.6,42.6,8.48,19.64,93.7,90.2,15.19,34.7,automated_daily
2023-02-06,BGW-001,BGW-001-C1,4.7,145.8,52.8,9.17,18.44,98.0,95.0,14.63,21.2,automated_daily
2023-02-07,BGW-001,BGW-001-C1,5.4,112.1,58.5,10.29,21.93,93.5,86.5,14.99,22.7,automated_daily
2023-02-08,BGW-001,BGW-001-C1,5.07,112.7,46.8,10.23,21.03,88.5,86.1,15.99,17.5,automated_daily
2023-02-09,BGW-001,BGW-001-C1,6.85,146.9,45.1,11.46,20.21,90.5,83.3,16.18,29.4,automated_daily
2023-02-10,BGW-001,BGW-001-C1,5.8,134.1,37.6,11.52,20.97,93.7,92.4,18.71,16.8,automated_daily
2023-02-11,BGW-001,BGW-001-C1,5.97,112.0,37.8,12.2,22.73,88.4,83.0,17.9,18.5,automated_daily
2023-02-12,BGW-001,BGW-001-C1,7.11,124.2,56.0,11.81,20.97,85.0,80.1,18.51,17.5,automated_daily
2023-02-13,BGW-001,BGW-001-C1,7.41,132.6,36.4,8.41,17.21,75.5,70.2,12.51,15.7,automated_daily
2023-02-14,BGW-001,BGW-001-C1,4.94,127.5,53.4,8.75,17.41,97.4,95.0,15.04,33.2,automated_daily
2023-02-15,BGW-001,BGW-001-C1,4.57,105.7,42.3,13.37,23.85,87.0,82.1,18.43,33.6,automated_daily
2023-02-16,BGW-001,BGW-001-C1,5.22,125.1,45.7,11.53,19.78,81.0,79.3,15.41,28.6,automated_daily
2023-02-17,BGW-001,BGW-001-C1,5.96,99.6,46.4,12.8,22.35,93.8,86.4,18.48,30.6,automated_daily
2023-02-18,BGW-001,BGW-001-C1,5.02,161.7,51.5,13.46,23.17,82.4,78.8,18.52,23.0,automated_daily
2023-02-19,BGW-001,BGW-001-C1,7.29,155.7,47.8,10.69,16.89,80.6,77.8,11.74,29.8,automated_daily
2023-02-20,BGW-001,BGW-001-C1,7.09,97.7,58.9,12.2,18.28,81.8,76.2,17.84,27.8,automated_daily
2023-02-21,BGW-001,BGW-001-C1,5.14,141.2,45.9,8.39,19.32,86.6,84.5,14.37,27.2,automated_daily
2023-02-22,BGW-001,BGW-001-C1,7.49,128.2,40.1,10.62,20.24,79.9,79.9,15.68,25.7,automated_daily
2023-02-23,BGW-001,BGW-001-C1,5.44,125.1,40.5,9.76,19.88,77.8,75.1,15.09,21.0,automated_daily
2023-02-24,BGW-001,BGW-001-C1,6.4,142.3,35.3,10.03,17.5,84.6,78.0,13.96,21.3,automated_daily
2023-02-25,BGW-001,BGW-001-C1,6.14,154.4,44.7,9.69,19.34,84.5,78.7,15.89,27.4,automated_daily
2023-02-26,BGW-001,BGW-001-C1,4.9,167.1,52.1,8.99,17.75,83.9,79.4,14.58,29.6,automated_daily
2023-02-27,BGW-001,BGW-001-C1,5.2,167.3,58.7,9.59,18.24,77.6,70.4,13.42,34.1,automated_daily
2023-02-28,BGW-001,BGW-001-C1,6.67,139.2,43.7,12.31,18.46,76.5,74.7,15.47,17.3,automated_daily
2023-03-01,BGW-001,BGW-001-C1,5.56,111.7,38.3,8.94,19.9,80.0,79.2,15.09,16.1,automated_daily
2023-03-02,BGW-001,BGW-001-C1,5.83,123.5,48.6,12.22,20.08,81.0,79.4,15.14,18.3,automated_daily
2023-03-03,BGW-001,BGW-001-C1,6.26,116.8,42.9,10.22,19.77,82.1,74.3,13.96,33.8,automated_daily
2023-03-04,BGW-001,BGW-001-C1,4.84,134.3,59.4,10.91,21.71,81.8,78.0,15.46,31.3,automated_daily
2023-03-05,BGW-001,BGW-001-C1,6.35,133.3,58.9,11.34,19.36,72.9,65.8,15.61,26.2,automated_daily
2023-03-06,BGW-001,BGW-001-C1,5.55,126.3,39.9,13.13,23.12,80.5,73.9,17.4,34.9,automated_daily
2023-03-07,BGW-001,BGW-001-C1,5.56,165.2,51.4,13.6,23.34,81.2,79.2,18.14,32.2,automated_daily
2023-03-08,BGW-001,BGW-001-C1,6.63,108.0,45.0,13.04,24.69,85.4,82.8,18.42,15.5,automated_daily
2023-03-09,BGW-001,BGW-001-C1,7.01,128.8,42.3,12.65,23.41,75.8,72.9,17.54,24.3,automated_daily
2023-03-10,BGW-001,BGW-001-C1,7.2,107.0,59.9,11.68,23.17,76.0,74.6,17.69,32.5,automated_daily
2023-03-11,BGW-001,BGW-001-C1,7.12,116.2,50.4,10.34,18.26,81.0,76.8,15.65,25.4,automated_daily
2023-03-12,BGW-001,BGW-001-C1,6.92,166.4,44.1,13.1,24.28,85.2,83.1,18.03,33.8,automated_daily
