timestamp,well_id,css_cycle_id,phase,reservoir_temperature_C,wellhead_temperature_C,pressure_bar,flow_rate_bpd,rpm,vibration_mm_s,motor_power_kW,motor_current_A
2023-01-12,BGW-001,BGW-001-C1,injection,42.4,20.6,71.0,47.4,0.0,1.97,0.0,0.0
2023-01-13,BGW-001,BGW-001-C1,injection,50.3,27.2,71.2,83.0,0.0,1.2,0.0,0.0
2023-01-14,BGW-001,BGW-001-C1,injection,61.2,42.2,73.0,68.1,0.0,2.6,0.0,0.0
2023-01-15,BGW-001,BGW-001-C1,injection,71.6,47.3,74.9,69.3,0.0,2.15,0.0,0.0
2023-01-16,BGW-001,BGW-001-C1,injection,80.7,61.5,74.2,102.2,0.0,3.13,0.0,0.0
2023-01-17,BGW-001,BGW-001-C1,injection,88.8,65.9,75.9,75.8,0.0,2.72,0.0,0.0
2023-01-18,BGW-001,BGW-001-C1,injection,98.6,78.3,76.5,59.3,0.0,1.68,0.0,0.0
2023-01-19,BGW-001,BGW-001-C1,injection,108.0,88.4,77.4,97.6,0.0,1.23,0.0,0.0
2023-01-20,BGW-001,BGW-001-C1,injection,117.3,101.6,84.2,67.6,0.0,2.2,0.0,0.0
2023-01-21,BGW-001,BGW-001-C1,injection,131.2,106.9,79.1,77.2,0.0,1.77,0.0,0.0
2023-01-22,BGW-001,BGW-001-C1,injection,138.0,122.4,78.6,74.8,0.0,1.67,0.0,0.0
2023-01-23,BGW-001,BGW-001-C1,injection,148.5,130.3,84.3,72.6,0.0,2.0,0.0,0.0
2023-01-24,BGW-001,BGW-001-C1,injection,156.4,138.9,79.7,90.9,0.0,2.23,0.0,0.0
2023-01-25,BGW-001,BGW-001-C1,injection,165.9,149.9,83.9,86.3,0.0,2.16,0.0,0.0
2023-01-26,BGW-001,BGW-001-C1,soak,177.4,153.4,87.8,58.7,0.0,1.72,0.0,0.0
2023-01-27,BGW-001,BGW-001-C1,soak,177.1,160.8,92.0,69.0,0.0,2.09,0.0,0.0
2023-01-28,BGW-001,BGW-001-C1,soak,178.9,157.5,90.3,75.6,0.0,1.78,0.0,0.0
2023-01-29,BGW-001,BGW-001-C1,soak,174.1,155.4,91.8,82.4,0.0,1.8,0.0,0.0
2023-01-30,BGW-001,BGW-001-C1,soak,176.6,152.1,92.4,79.0,0.0,3.04,0.0,0.0
2023-01-31,BGW-001,BGW-001-C1,soak,178.5,156.9,93.0,81.9,0.0,1.82,0.0,0.0
2023-02-01,BGW-001,BGW-001-C1,production,176.8,159.8,89.8,203.5,7.44,2.04,27.3,105.0
2023-02-02,BGW-001,BGW-001-C1,production,176.5,160.1,84.8,144.8,7.2,2.91,30.7,128.9
2023-02-03,BGW-001,BGW-001-C1,production,169.3,153.4,86.5,189.4,6.26,2.37,24.3,98.7
2023-02-04,BGW-001,BGW-001-C1,production,168.1,147.1,94.0,162.3,4.48,1.05,16.8,69.4
2023-02-05,BGW-001,BGW-001-C1,production,166.5,148.2,92.5,187.0,7.05,2.16,22.3,88.2
2023-02-06,BGW-001,BGW-001-C1,production,162.3,142.9,86.6,176.2,6.92,1.55,33.7,141.2
2023-02-07,BGW-001,BGW-001-C1,production,161.1,139.0,88.7,205.3,4.47,3.4,27.7,106.9
2023-02-08,BGW-001,BGW-001-C1,production,159.7,140.1,89.7,131.9,5.18,1.04,23.8,94.0
2023-02-09,BGW-001,BGW-001-C1,production,155.5,130.6,88.6,181.6,5.14,2.28,17.1,73.5
2023-02-10,BGW-001,BGW-001-C1,production,151.3,127.3,89.3,195.9,4.96,1.89,30.5,118.9
2023-02-11,BGW-001,BGW-001-C1,production,149.2,134.2,87.9,204.9,6.42,1.22,19.8,83.6
2023-02-12,BGW-001,BGW-001-C1,production,146.4,123.7,88.6,212.7,7.35,1.96,17.5,70.9
2023-02-13,BGW-001,BGW-001-C1,production,147.2,130.6,86.4,135.6,4.77,1.79,29.2,125.3
2023-02-14,BGW-001,BGW-001-C1,production,140.8,125.4,81.5,176.1,6.84,2.56,16.8,65.4
2023-02-15,BGW-001,BGW-001-C1,production,139.1,117.7,85.7,189.9,4.58,2.79,21.0,85.9
2023-02-16,BGW-001,BGW-001-C1,production,140.1,123.6,87.4,176.1,5.62,3.17,17.4,67.3
2023-02-17,BGW-001,BGW-001-C1,production,136.6,115.5,82.7,179.2,5.65,1.5,19.4,79.4
2023-02-18,BGW-001,BGW-001-C1,production,132.6,112.9,81.1,213.2,6.29,2.21,29.0,119.6
2023-02-19,BGW-001,BGW-001-C1,production,132.5,112.0,82.7,145.7,6.5,3.56,25.3,105.5
2023-02-20,BGW-001,BGW-001-C1,production,130.4,110.2,86.7,156.6,5.26,1.49,24.9,96.1
2023-02-21,BGW-001,BGW-001-C1,production,129.3,111.5,86.3,193.6,4.69,2.56,29.9,113.8
2023-02-22,BGW-001,BGW-001-C1,production,123.4,106.9,87.0,158.4,4.48,0.22,34.2,147.0
2023-02-23,BGW-001,BGW-001-C1,production,125.2,103.2,82.5,171.1,6.56,1.95,19.2,78.0
2023-02-24,BGW-001,BGW-001-C1,production,123.8,98.9,81.8,150.9,7.36,2.8,17.8,71.6
2023-02-25,BGW-001,BGW-001-C1,production,120.3,101.0,80.3,226.9,4.6,1.44,33.1,126.5
2023-02-26,BGW-001,BGW-001-C1,production,116.9,96.0,80.6,108.2,4.34,0.99,31.9,131.4
2023-02-27,BGW-001,BGW-001-C1,production,117.3,101.7,82.9,149.7,6.16,2.4,31.9,128.9
2023-02-28,BGW-001,BGW-001-C1,production,116.3,92.2,83.7,157.4,7.4,1.25,25.0,101.6
2023-03-01,BGW-001,BGW-001-C1,production,112.9,91.6,81.4,157.0,5.36,2.44,15.5,66.1
2023-03-02,BGW-001,BGW-001-C1,production,113.5,98.4,78.9,187.9,6.81,2.11,34.6,142.2
2023-03-03,BGW-001,BGW-001-C1,production,113.0,90.8,82.9,145.3,7.13,1.36,17.3,72.1
2023-03-04,BGW-001,BGW-001-C1,production,107.8,83.1,81.4,143.3,5.15,3.09,30.0,119.2
2023-03-05,BGW-001,BGW-001-C1,production,105.6,85.7,78.0,204.4,5.86,0.94,23.2,97.4
2023-03-06,BGW-001,BGW-001-C1,production,108.6,84.3,80.1,202.9,4.15,0.99,16.0,61.7
2023-03-07,BGW-001,BGW-001-C1,production,105.6,81.9,81.7,141.5,7.2,2.14,19.7,81.0
2023-03-08,BGW-001,BGW-001-C1,production,103.2,81.4,78.1,194.1,5.61,1.75,28.4,111.3
2023-03-09,BGW-001,BGW-001-C1,production,98.9,80.9,81.8,121.9,5.59,1.83,32.7,127.3
2023-03-10,BGW-001,BGW-001-C1,production,102.0,78.9,77.5,241.6,5.19,1.8,17.7,72.3
2023-03-11,BGW-001,BGW-001-C1,production,97.2,77.3,78.6,174.8,5.46,1.34,19.0,72.4
2023-03-12,BGW-001,BGW-001-C1,production,97.3,78.1,81.1,129.2,7.01,1.46,20.7,87.9
2023-03-13,BGW-001,BGW-001-C1,production,94.8,74.5,78.9,103.1,6.36,2.16,21.0,82.3
2023-03-14,BGW-001,BGW-001-C1,production,97.4,76.7,79.9,191.6,7.14,2.49,24.5,105.3
2023-03-15,BGW-001,BGW-001-C1,production,94.1,71.3,79.5,165.6,6.25,2.9,28.1,120.2
2023-03-16,BGW-001,BGW-001-C1,production,94.2,69.6,79.3,155.2,4.16,0.61,16.3,65.6
2023-03-17,BGW-001,BGW-001-C1,production,92.3,76.2,77.5,178.3,4.24,1.41,19.1,75.5
2023-03-18,BGW-001,BGW-001-C1,production,91.2,75.0,77.9,148.9,4.0,1.87,24.8,98.4
2023-03-19,BGW-001,BGW-001-C1,production,91.4,73.8,78.1,213.8,4.97,1.1,28.7,112.3
2023-03-20,BGW-001,BGW-001-C1,production,89.8,70.2,78.3,193.4,4.6,2.33,17.8,75.8
2023-03-21,BGW-001,BGW-001-C1,production,88.5,72.4,77.5,112.6,4.97,2.71,26.8,113.2
2023-03-22,BGW-001,BGW-001-C1,production,87.4,70.8,80.6,168.8,7.42,2.01,33.4,134.5
2023-03-23,BGW-001,BGW-001-C1,production,89.3,66.2,80.2,205.7,7.2,2.27,19.3,77.3
2023-03-24,BGW-001,BGW-001-C1,production,86.4,67.9,76.3,182.5,4.66,1.23,29.2,121.7
2023-03-25,BGW-001,BGW-001-C1,production,86.4,70.1,79.8,186.1,6.77,2.24,25.1,107.8
2023-03-26,BGW-001,BGW-001-C1,production,83.3,62.5,77.4,180.3,7.59,2.03,25.7,105.7
2023-03-27,BGW-001,BGW-001-C1,production,82.3,64.3,74.3,191.7,7.34,1.93,26.9,105.3
